code,action,account_history_built_by_performising_action_on_product_type,search_filter1,search_filter2
p1,search+click+add_to_cart,misinformative,featured,average customer review
p2,search+click+add_to_cart,misinformative,newest arrivals,price low to high
p3,search+click+add_to_cart,neutral,featured,average customer review
p4,search+click+add_to_cart,neutral,newest arrivals,price low to high
p5,search+click+add_to_cart,debunking,featured,average customer review
p6,search+click+add_to_cart,debunking,newest arrivals,price low to high
p7,search,misinformative,featured,average customer review
p8,search,misinformative,newest arrivals,price low to high
p9,search,neutral,featured,average customer review
p10,search,neutral,newest arrivals,price low to high
p11,search,debunking,featured,average customer review
p12,search,debunking,newest arrivals,price low to high
p13,search+click,misinformative,featured,average customer review
p14,search+click,misinformative,newest arrivals,price low to high
p15,search+click,neutral,featured,average customer review
p16,search+click,neutral,newest arrivals,price low to high
p17,search+click,debunking,featured,average customer review
p18,search+click,debunking,newest arrivals,price low to high
p19,follow contributor,misinformative,featured,average customer review
p20,follow contributor,misinformative,newest arrivals,price low to high
p21,follow contributor,neutral,featured,average customer review
p22,follow contributor,neutral,newest arrivals,price low to high
p23,follow contributor,debunking,featured,average customer review
p24,follow contributor,debunking,newest arrivals,price low to high
p25,search + click + mark top-rated all positive review as helpful,misinformative,featured,average customer review
p26,search + click + mark top-rated all positive review as helpful,misinformative,newest arrivals,price low to high
p27,search + click + mark top-rated all positive review as helpful,neutral,featured,average customer review
p28,search + click + mark top-rated all positive review as helpful,neutral,newest arrivals,price low to high
p29,search + click + mark top-rated all positive review as helpful,debunking,featured,average customer review
p30,search + click + mark top-rated all positive review as helpful,debunking,newest arrivals,price low to high
p31,google search,misinformative,featured,average customer review
p32,google search,misinformative,newest arrivals,price low to high
p33,google search,neutral,featured,average customer review
p34,google search,neutral,newest arrivals,price low to high
p35,google search,debunking,featured,average customer review
p36,google search,debunking,newest arrivals,price low to high
p37,control,,featured,average customer review
p38,control,,featured,average customer review
p39,control,,newest arrivals,price low to high
p40,control,,newest arrivals,price low to high
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
