url_code,url,annotation
B07NQ826CX,http://www.amazon.com/dp/B07NQ826CX,5
B00JV7Q8HW,http://www.amazon.com/dp/B00JV7Q8HW,5
B07FN1MH63,http://www.amazon.com/dp/B07FN1MH63,1
B0011002L0,http://www.amazon.com/dp/B0011002L0,0
B0859B3LNP,http://www.amazon.com/dp/B0859B3LNP,5
B085VDYVF2,http://www.amazon.com/dp/B085VDYVF2,1
B0096PAYCY,http://www.amazon.com/dp/B0096PAYCY,5
B078GTTCCF,http://www.amazon.com/dp/B078GTTCCF,5
B079DL32QY,http://www.amazon.com/dp/B079DL32QY,5
B0139JLLWE,http://www.amazon.com/dp/B0139JLLWE,5
B081763HTP,http://www.amazon.com/dp/B081763HTP,0
B01CO348EO,http://www.amazon.com/dp/B01CO348EO,5
1594961549,http://www.amazon.com/dp/1594961549,5
B07BYHHJ6K,http://www.amazon.com/dp/B07BYHHJ6K,3
B01M5K4JN0,http://www.amazon.com/dp/B01M5K4JN0,5
B01IO8XJWU,http://www.amazon.com/dp/B01IO8XJWU,3
B0013OULVA,http://www.amazon.com/dp/B0013OULVA,0
B00ZW6896O,http://www.amazon.com/dp/B00ZW6896O,5
1510754644,http://www.amazon.com/dp/1510754644,5
B01LZT61NP,http://www.amazon.com/dp/B01LZT61NP,5
B016EFMPK2,http://www.amazon.com/dp/B016EFMPK2,0
B005IHECS6,http://www.amazon.com/dp/B005IHECS6,0
B084YZZ5Y9,http://www.amazon.com/dp/B084YZZ5Y9,0
B085QP69CC,http://www.amazon.com/dp/B085QP69CC,0
B07GCZ36VH,http://www.amazon.com/dp/B07GCZ36VH,5
B0844PQ99F,http://www.amazon.com/dp/B0844PQ99F,5
B00WFF7MRW,http://www.amazon.com/dp/B00WFF7MRW,0
B0811NXXKT,http://www.amazon.com/dp/B0811NXXKT,3
B000GCE8X2,http://www.amazon.com/dp/B000GCE8X2,0
B085ZCF9CM,http://www.amazon.com/dp/B085ZCF9CM,0
B084TNJ8T8,http://www.amazon.com/dp/B084TNJ8T8,5
B07DVLTQFN,http://www.amazon.com/dp/B07DVLTQFN,5
B06XH29X7V,http://www.amazon.com/dp/B06XH29X7V,5
B00W2X61D8,http://www.amazon.com/dp/B00W2X61D8,0
B0010NSC1U,http://www.amazon.com/dp/B0010NSC1U,0
B07XLBQ2TY,http://www.amazon.com/dp/B07XLBQ2TY,-1
B00CF6J0O4,http://www.amazon.com/dp/B00CF6J0O4,0
B07YF612NQ,http://www.amazon.com/dp/B07YF612NQ,5
B078719H51,http://www.amazon.com/dp/B078719H51,0
170012837X,http://www.amazon.com/dp/170012837X,0
B0033AGVVG,http://www.amazon.com/dp/B0033AGVVG,5
B07P2K22XW,http://www.amazon.com/dp/B07P2K22XW,0
B01FEY5EDO,http://www.amazon.com/dp/B01FEY5EDO,-1
B079YXXYY4,http://www.amazon.com/dp/B079YXXYY4,5
B07FK5WCXX,http://www.amazon.com/dp/B07FK5WCXX,5
B07QJ7WFMF,http://www.amazon.com/dp/B07QJ7WFMF,5
B07HG1M97B,http://www.amazon.com/dp/B07HG1M97B,5
B004NNUWCQ,http://www.amazon.com/dp/B004NNUWCQ,5
B07BWMXR1K,http://www.amazon.com/dp/B07BWMXR1K,0
B00C5R84EA,http://www.amazon.com/dp/B00C5R84EA,5
B086PTFKKX,http://www.amazon.com/dp/B086PTFKKX,1
B00TRB7NXU,http://www.amazon.com/dp/B00TRB7NXU,5
B07D2Y93ZD,http://www.amazon.com/dp/B07D2Y93ZD,5
B07ZKFTWT4,http://www.amazon.com/dp/B07ZKFTWT4,3
B07K39H44P,http://www.amazon.com/dp/B07K39H44P,5
B0047747QK,http://www.amazon.com/dp/B0047747QK,0
B06Y5RQVMT,http://www.amazon.com/dp/B06Y5RQVMT,0
B07HF88TL7,http://www.amazon.com/dp/B07HF88TL7,5
B07X7KNVPW,http://www.amazon.com/dp/B07X7KNVPW,0
B07RV5Q1NX,http://www.amazon.com/dp/B07RV5Q1NX,5
B084TFQTV7,http://www.amazon.com/dp/B084TFQTV7,5
B07T8CFYCS,http://www.amazon.com/dp/B07T8CFYCS,5
B00AFYXEWC,http://www.amazon.com/dp/B00AFYXEWC,5
B07K2TWL6F,http://www.amazon.com/dp/B07K2TWL6F,5
B07GWYLDJ9,http://www.amazon.com/dp/B07GWYLDJ9,5
B0053Q1VYA,http://www.amazon.com/dp/B0053Q1VYA,5
B0833VRJD9,http://www.amazon.com/dp/B0833VRJD9,5
B07S32DBQV,http://www.amazon.com/dp/B07S32DBQV,0
B00VGDYLT6,http://www.amazon.com/dp/B00VGDYLT6,5
B01FIR343Y,http://www.amazon.com/dp/B01FIR343Y,0
1078202818,http://www.amazon.com/dp/1078202818,1
B078GSWHXN,http://www.amazon.com/dp/B078GSWHXN,5
B07JRDN8VY,http://www.amazon.com/dp/B07JRDN8VY,5
B004WN4W9G,http://www.amazon.com/dp/B004WN4W9G,0
B07KPXSPW4,http://www.amazon.com/dp/B07KPXSPW4,5
B00280M13O,http://www.amazon.com/dp/B00280M13O,0
B083ZH6BXG,http://www.amazon.com/dp/B083ZH6BXG,5
B00EEM7WDS,http://www.amazon.com/dp/B00EEM7WDS,1
B07QSBY127,http://www.amazon.com/dp/B07QSBY127,0
0967398363,http://www.amazon.com/dp/0967398363,1
B00PBDSVLQ,http://www.amazon.com/dp/B00PBDSVLQ,5
B0088OKQIQ,http://www.amazon.com/dp/B0088OKQIQ,0
B018A3GFKW,http://www.amazon.com/dp/B018A3GFKW,1
B01N48FRW3,http://www.amazon.com/dp/B01N48FRW3,0
B000UZJRFY,http://www.amazon.com/dp/B000UZJRFY,1
1683731220,http://www.amazon.com/dp/1683731220,5
B079NFNTNZ,http://www.amazon.com/dp/B079NFNTNZ,0
B07JN788WV,http://www.amazon.com/dp/B07JN788WV,0
B0788L4S6N,http://www.amazon.com/dp/B0788L4S6N,5
B00NWTPH68,http://www.amazon.com/dp/B00NWTPH68,0
B00DXPRTHG,http://www.amazon.com/dp/B00DXPRTHG,0
B071G3YVZC,http://www.amazon.com/dp/B071G3YVZC,5
B0053PW5RI,http://www.amazon.com/dp/B0053PW5RI,1
B00KM2P7DQ,http://www.amazon.com/dp/B00KM2P7DQ,0
B08775DVD7,http://www.amazon.com/dp/B08775DVD7,5
0345548043,http://www.amazon.com/dp/0345548043,0
B0007YCC7S,http://www.amazon.com/dp/B0007YCC7S,0
B081BCHH9V,http://www.amazon.com/dp/B081BCHH9V,1
B06ZZXF81G,http://www.amazon.com/dp/B06ZZXF81G,0
B016GB49AS,http://www.amazon.com/dp/B016GB49AS,0
B07KRK61ZH,http://www.amazon.com/dp/B07KRK61ZH,5
B007AW2CLG,http://www.amazon.com/dp/B007AW2CLG,1
159496081X,http://www.amazon.com/dp/159496081X,5
B014OZIJPY,http://www.amazon.com/dp/B014OZIJPY,5
099845270X,http://www.amazon.com/dp/099845270X,5
B088C455SQ,http://www.amazon.com/dp/B088C455SQ,0
B00CDJXQ52,http://www.amazon.com/dp/B00CDJXQ52,1
1706814410,http://www.amazon.com/dp/1706814410,0
1628736852,http://www.amazon.com/dp/1628736852,5
B07H52QDHY,http://www.amazon.com/dp/B07H52QDHY,0
159496162X,http://www.amazon.com/dp/159496162X,5
B01EVQW3EE,http://www.amazon.com/dp/B01EVQW3EE,0
B06XYY5C8H,http://www.amazon.com/dp/B06XYY5C8H,5
