folder,date,type_of_recommendation,rank,url_code,url,annotation
p3,8/12/2020,Customers who shopped,1,1441321659,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-semantic-session-sims-scf&column=1&row=1&clickType=Title&url=%2Fdp%2F1441321659%3Fpsc%3D1%26pf_rd_p%3D995e9308-9761-4a71-9419-82fd033b88fd%26pf_rd_r%3DPSKTKDF89JM86WTTRXFX%26pd_rd_wg%3DNn0ES%26pd_rd_i%3D1441321659%26pd_rd_w%3D3ilS9%26pd_rd_r%3D39af52b4-1699-4cd5-924b-a0a89f52c26d%26ref_%3Dpd_luc_rh_crh_rh_sbs_sem_01_01_t_img_lh/,0
p3,8/12/2020,Sponsored products related,1,194451547X,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_SponsoredProductsRemoteHUCEXPSubstitutes&column=1&row=2&clickType=Title&url=%2Fgp%2Fslredirect%2FpicassoRedirect.html%2Fref%3Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%3Fie%3DUTF8%26adId%3DA02318083C561PVAJJPXY%26qualifier%3D1597206935%26id%3D4224749328332168%26widgetName%3Dsp_huc_mrai%26url%3D%252Fdp%252F194451547X%252Fref%253Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%253Fpsc%253D1/,0
p3,8/12/2020,Customers also bought,1,1680521888,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-top-rated-scf&column=1&row=3&clickType=Title&url=%2Fdp%2F1680521888%3Fpsc%3D1%26pf_rd_p%3Dd3280cde-8cd8-41ef-9268-fe1191f10563%26pf_rd_r%3DPSKTKDF89JM86WTTRXFX%26pd_rd_wg%3DNn0ES%26pd_rd_i%3D1680521888%26pd_rd_w%3DpZobM%26pd_rd_r%3D39af52b4-1699-4cd5-924b-a0a89f52c26d%26ref_%3Dpd_luc_rh_crh_rh_top_sim_03_01_t_img_lh/,0
p3,8/12/2020,Related to items,1,B06XFHTGVK,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_cue-MissionPicks-ao-blir0&column=1&row=4&clickType=Title&url=%2Fdp%2FB06XFHTGVK%3Fpsc%3D1%26pf_rd_p%3D6ee60839-fe55-4da7-916f-6c976c852767%26pf_rd_r%3DPSKTKDF89JM86WTTRXFX%26pd_rd_wg%3DNn0ES%26pd_rd_i%3DB06XFHTGVK%26pd_rd_w%3DCmw2O%26pd_rd_r%3D39af52b4-1699-4cd5-924b-a0a89f52c26d%26ref_%3Dpd_luc_rh_ci_mcx_mr_huc_d_04_01_t_img_lh/,0
p3,8/13/2020,Customers who shopped,1,1793125937,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-semantic-session-sims-scf&column=1&row=1&clickType=Title&url=%2Fdp%2F1793125937%3Fpsc%3D1%26pf_rd_p%3D995e9308-9761-4a71-9419-82fd033b88fd%26pf_rd_r%3DGMTTXR6H8CJRWVA7D08P%26pd_rd_wg%3DnJzc2%26pd_rd_i%3D1793125937%26pd_rd_w%3Drfftk%26pd_rd_r%3D6fe4a494-8a72-48e4-aa2a-93d7d50d3235%26ref_%3Dpd_luc_rh_crh_rh_sbs_sem_01_01_t_img_lh/,0
p3,8/13/2020,Sponsored products related,1,1951056221,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_SponsoredProductsRemoteHUCEXPSubstitutes&column=1&row=2&clickType=Title&url=%2Fgp%2Fslredirect%2FpicassoRedirect.html%2Fref%3Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%3Fie%3DUTF8%26adId%3DA0912814RJQUQ6W9N4H7%26qualifier%3D1597293336%26id%3D4868080348502726%26widgetName%3Dsp_huc_mrai%26url%3D%252Fdp%252F1951056221%252Fref%253Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%253Fpsc%253D1/,0
p3,8/13/2020,Frequently bought with,1,B01GZP89YC,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-sameday-sims-scf&column=1&row=3&clickType=Title&url=%2Fdp%2FB01GZP89YC%3Fpsc%3D1%26pf_rd_p%3D01c0bdb8-1e82-445d-bb62-283102418aba%26pf_rd_r%3DGMTTXR6H8CJRWVA7D08P%26pd_rd_wg%3DnJzc2%26pd_rd_i%3DB01GZP89YC%26pd_rd_w%3D6sI4b%26pd_rd_r%3D6fe4a494-8a72-48e4-aa2a-93d7d50d3235%26ref_%3Dpd_luc_rh_crh_rh_bxgy_03_01_t_img_lh/,0
p3,8/13/2020,Customers also bought,1,1441319603,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-top-rated-scf&column=1&row=4&clickType=Title&url=%2Fdp%2F1441319603%3Fpsc%3D1%26pf_rd_p%3Dd3280cde-8cd8-41ef-9268-fe1191f10563%26pf_rd_r%3DGMTTXR6H8CJRWVA7D08P%26pd_rd_wg%3DnJzc2%26pd_rd_i%3D1441319603%26pd_rd_w%3DeLCJH%26pd_rd_r%3D6fe4a494-8a72-48e4-aa2a-93d7d50d3235%26ref_%3Dpd_luc_rh_crh_rh_top_sim_04_01_t_img_lh/,0
p3,8/14/2020,Customers who shopped,1,1462517471,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_huc-semantic-session-sims-scf&column=1&row=1&clickType=Title&url=%2Fdp%2F1462517471%3Fpsc%3D1%26pf_rd_p%3D995e9308-9761-4a71-9419-82fd033b88fd%26pf_rd_r%3D2GQNE3C7VYNRHBN6SDAW%26pd_rd_wg%3DmnvEm%26pd_rd_i%3D1462517471%26pd_rd_w%3D44RgV%26pd_rd_r%3Dfc90cc4a-082e-4553-beb5-4fc3d56c42c3%26ref_%3Dpd_luc_rh_crh_rh_sbs_sem_01_01_t_img_lh/,0
p3,8/14/2020,Sponsored products related,1,1593633823,http://www.amazon.com/gp/upsell-widgets/click-logger.html?widgetName=desktop-huc-carousels_SponsoredProductsRemoteHUCEXPSubstitutes&column=1&row=2&clickType=Title&url=%2Fgp%2Fslredirect%2FpicassoRedirect.html%2Fref%3Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%3Fie%3DUTF8%26adId%3DA00158983GLVK5QZQNXBD%26qualifier%3D1597381770%26id%3D1972028294404749%26widgetName%3Dsp_huc_mrai%26url%3D%252Fdp%252F1593633823%252Fref%253Dpd_luc_rh_sspa_dk_huc_pt_expsub_0%253Fpsc%253D1/,0
