url_code,title,url,annotation
B07Q5QP4P3,Synthol: The Oil that Cursed Bodybuilding (WE R STUPID Book 40),http://www.amazon.com/Synthol-that-Cursed-Bodybuilding-STUPID-ebook/dp/B07Q5QP4P3/ref=sr_1_9?dchild=1&keywords=vaccination+book&qid=1588582155&sr=8-9,-1
B07VXX9589,"The Doctor Who Fooled the World: Science, Deception, and the War on Vaccines",http://www.amazon.com/Doctor-Who-Fooled-World-Deception-ebook/dp/B07VXX9589/ref=sr_1_3?dchild=1&keywords=vaccination+book&qid=1588585117&sr=8-3,-1
0262539322,Anti-vaxxers: How to Challenge a Misinformed Movement,http://www.amazon.com/Anti-vaxxers-How-Challenge-Misinformed-Movement/dp/0262539322/ref=sr_1_4?dchild=1&keywords=vaccination+book&qid=1588585117&sr=8-4,-1
0300241445,The Great Inoculator: The Untold Story of Daniel Sutton and his Medical Revolution,http://www.amazon.com/Great-Inoculator-Untold-Medical-Revolution/dp/0300241445/ref=sr_1_7?dchild=1&keywords=vaccination+book&qid=1588585117&sr=8-7,-1
0415321794,MMR and Autism: What Parents Need to Know,http://www.amazon.com/MMR-Autism-What-Parents-Need/dp/0415321794/ref=sr_1_1?dchild=1&keywords=mmr+and+autism&qid=1588668331&sr=8-1,-1
B07J1TJWD8,"Vaccines Did Not Cause Rachel's Autism: My Journey as a Vaccine Scientist, Pediatrician, and Autism Dad",http://www.amazon.com/Vaccines-Did-Cause-Rachels-Autism/dp/B07J1TJWD8/ref=sr_1_3?dchild=1&keywords=mmr+and+autism&qid=1588668331&sr=8-3,-1
B00Y300YJK,"[(MMR and Autism)] [Author: Michael Fitzpatrick] published on (August, 2004)",http://www.amazon.com/MMR-Autism-Author-Fitzpatrick-published/dp/B00Y300YJK/ref=sr_1_4?dchild=1&keywords=mmr+and+autism&qid=1588668331&sr=8-4,-1
B000ROKXVA,"Vaccinated: Triumph, Controversy, and An Uncertain F",http://www.amazon.com/Vaccinated-Triumph-Controversy-Uncertain-F-ebook/dp/B000ROKXVA/ref=sr_1_9?dchild=1&keywords=mmr+and+autism&qid=1588668331&sr=8-9,-1
0820488380,"Health, Risk and News: The MMR Vaccine and the Media (Media and Culture)",http://www.amazon.com/Health-Risk-News-Vaccine-Culture/dp/0820488380/ref=sr_1_4?dchild=1&keywords=mmr+and+autism&qid=1588670134&sr=8-4,-1
B0097CWJOM,"Autism's False Prophets: Bad Science, Risky Medicine, and the Search for a Cure",http://www.amazon.com/Autisms-False-Prophets-Science-Medicine-ebook/dp/B0097CWJOM/ref=sr_1_10?dchild=1&keywords=mmr+and+autism&qid=1588670762&sr=8-10,-1
B07SQ1ZT7F,Vaccinated And Proud Vaccinate Vaxx Gift Coffee/tea Ceramic Mug Father Day,http://www.amazon.com/Vaccinated-Vaccinate-Coffee-Ceramic-Father/dp/B07SQ1ZT7F/ref=sr_1_3?dchild=1&keywords=mmr+and+autism&qid=1588671388&sr=8-3&swrs=CE407CAA1733204FC3C510551C0B5671,-1
B07HNDMR3K,"Minglewood Trading Orange - Vaccines Cause Adults - V1-9"" x 6"" Vinyl Decal Sticker - Vax Antivax - 20 Color Options",http://www.amazon.com/Minglewood-Trading-Orange-Vaccines-Sticker/dp/B07HNDMR3K/ref=sr_1_7?dchild=1&keywords=mmr+and+autism&qid=1588671388&sr=8-7&swrs=CE407CAA1733204FC3C510551C0B5671,-1
B07HNVWJQP,"Minglewood Trading Turquoise - Vaccines Cause Adults - V2-12"" x 8"" Vinyl Decal Sticker - Vax Antivax - 20 Color Options",http://www.amazon.com/Minglewood-Trading-Turquoise-Vaccines-Sticker/dp/B07HNVWJQP/ref=sr_1_8?dchild=1&keywords=mmr+and+autism&qid=1588671388&sr=8-8&swrs=CE407CAA1733204FC3C510551C0B5671,-1
B07XKWNM2N,The Vaccines Project,http://www.amazon.com/What-ingredients-are-in-vaccines/dp/B07XKWNM2N/ref=sr_1_1?dchild=1&keywords=vaccine+friendly+plan&qid=1589378890&sr=8-1,-1
B01IUKST0E,Stuff They Don't Want You to Know,http://www.amazon.com/Are-vaccinations-dangerous/dp/B01IUKST0E/ref=sr_1_3?dchild=1&keywords=vaccine+friendly+plan&qid=1589378890&sr=8-3,-1
B077YGV2BM,Vaccination Investigation: The History and Science of Vaccines,http://www.amazon.com/Vaccination-Investigation-History-Science-Vaccines-ebook/dp/B077YGV2BM/ref=sr_1_6?dchild=1&keywords=vaccine+friendly+plan&qid=1589379332&sr=8-6,-1
B07JKFYHXW,Anti/Vax: Reframing the Vaccination Controversy (The Culture and Politics of Health Care Work),http://www.amazon.com/Anti-Vax-Reframing-Vaccination-Controversy-ebook/dp/B07JKFYHXW/ref=sr_1_9?dchild=1&keywords=vaccine+friendly+plan&qid=1589379332&sr=8-9,-1
B07LDMC8BW,Immunization: and your child (Taking Care of your Children Book 1),http://www.amazon.com/Immunization-your-child-Taking-Children-ebook/dp/B07LDMC8BW/ref=sr_1_1?dchild=1&keywords=immunization+record+book&qid=1588600620&sr=8-1,-1
B07RW91CS5,Globalisation of Variolation:The Overlooked Origins of Immunity for Smallpox in the 18th Century,http://www.amazon.com/Globalisation-Variolation-Overlooked-Immunity-Smallpox-ebook/dp/B07RW91CS5/ref=sr_1_3?dchild=1&keywords=immunization+record+book&qid=1588601823&sr=8-3,-1
1786940469,Strangling Angel: Diphtheria and Childhood Immunization in Ireland (Reappraisals in Irish History LUP),http://www.amazon.com/Strangling-Angel-Diphtheria-Immunization-Reappraisals/dp/1786940469/ref=sr_1_4?dchild=1&keywords=immunization+record+book&qid=1588601823&sr=8-4,-1
B07XPCV8GZ,I Got My Flu Shot Stickers 1.5 Inch 500 Total Labels,http://www.amazon.com/Shot-Stickers-Inch-Total-Labels/dp/B07XPCV8GZ/ref=sr_1_4?dchild=1&keywords=flu+shot&qid=1589009429&sr=8-4,-1
B01CCD7VMM,I Love Flu Shots Pinback Button Pin,http://www.amazon.com/Love-Shots-1-25-Pinback-Button/dp/B01CCD7VMM/ref=sr_1_5?dchild=1&keywords=flu+shot&qid=1589010609&sr=8-5,-1
B01CE5LX4K,"I Love Flu Shots 2.25"" Keychain",http://www.amazon.com/Love-Flu-Shots-2-25-Keychain/dp/B01CE5LX4K/ref=sr_1_8?dchild=1&keywords=flu+shot&qid=1589010609&sr=8-8,-1
B07Q8X7MY5,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q8X7MY5/ref=sr_1_1?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-1,-1
B07Q8VMMQR,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q8VMMQR/ref=sr_1_2?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-2,-1
B07Q6ZQH6K,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q6ZQH6K/ref=sr_1_4?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-4,-1
B07Q8YDHR6,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q8YDHR6/ref=sr_1_5?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-5,-1
B07Q8WWZ7V,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q8WWZ7V/ref=sr_1_6?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-6,-1
B07Q8XVNP6,Decal Sticker Multiple Sizes Get Your Flu Shot Today Doctor Office Health & Medical get Your flu Shot here Today Outdoor Store Sign Orange Set of 10,http://www.amazon.com/Sticker-Multiple-Medical-Outdoor-Sign/dp/B07Q8XVNP6/ref=sr_1_7?dchild=1&keywords=flu+shot&qid=1589011643&sr=8-7,-1
